,Year,ZIP_Code,Geography_Type,Strata,Strata_Name,Cause,Cause_Desc,ICD_Revision,Count,Annotation_Code,Annotation_Desc,Data_Revision_Date
40056,2019,93704,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,14.0,,,12/06/2023
40068,2019,93705,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,270.0,,,12/06/2023
40069,2019,93705,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40070,2019,93705,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40071,2019,93705,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40072,2019,93705,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40073,2019,93705,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,11.0,,,12/06/2023
40074,2019,93705,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,11.0,,,12/06/2023
40075,2019,93705,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,19.0,,,12/06/2023
40076,2019,93705,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,49.0,,,12/06/2023
40077,2019,93705,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,58.0,,,12/06/2023
40078,2019,93705,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,48.0,,,12/06/2023
40079,2019,93705,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,65.0,,,12/06/2023
40080,2019,93705,Residence,Gender,Female,ALL,All causes (total),ICD-10,128.0,,,12/06/2023
40081,2019,93705,Residence,Gender,Male,ALL,All causes (total),ICD-10,142.0,,,12/06/2023
40084,2019,93705,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,13.0,,,12/06/2023
40096,2019,93706,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,385.0,,,12/06/2023
40097,2019,93706,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40098,2019,93706,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40099,2019,93706,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40100,2019,93706,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40101,2019,93706,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,18.0,,,12/06/2023
40102,2019,93706,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,18.0,,,12/06/2023
40103,2019,93706,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,26.0,,,12/06/2023
40104,2019,93706,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,69.0,,,12/06/2023
40105,2019,93706,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,71.0,,,12/06/2023
40106,2019,93706,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,88.0,,,12/06/2023
40107,2019,93706,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,87.0,,,12/06/2023
40108,2019,93706,Residence,Gender,Female,ALL,All causes (total),ICD-10,141.0,,,12/06/2023
40109,2019,93706,Residence,Gender,Male,ALL,All causes (total),ICD-10,244.0,,,12/06/2023
40112,2019,93706,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,12.0,,,12/06/2023
40124,2019,93707,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40125,2019,93707,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40126,2019,93707,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40127,2019,93707,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40128,2019,93707,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40129,2019,93707,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40130,2019,93707,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40131,2019,93707,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40132,2019,93707,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40133,2019,93707,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40134,2019,93707,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40135,2019,93707,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40136,2019,93707,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40137,2019,93707,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40140,2019,93707,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2023
40152,2019,93708,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40153,2019,93708,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40154,2019,93708,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40155,2019,93708,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40156,2019,93708,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40157,2019,93708,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40158,2019,93708,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40159,2019,93708,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40160,2019,93708,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40161,2019,93708,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40162,2019,93708,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40163,2019,93708,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40164,2019,93708,Residence,Gender,Female,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40165,2019,93708,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40168,2019,93708,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2023
40180,2019,93709,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40181,2019,93709,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40182,2019,93709,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40183,2019,93709,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40184,2019,93709,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40185,2019,93709,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40186,2019,93709,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40187,2019,93709,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40188,2019,93709,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40189,2019,93709,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40190,2019,93709,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40191,2019,93709,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40192,2019,93709,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40193,2019,93709,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40196,2019,93709,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2023
40208,2019,93710,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,289.0,,,12/06/2023
40209,2019,93710,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40210,2019,93710,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40211,2019,93710,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40212,2019,93710,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40213,2019,93710,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40214,2019,93710,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40215,2019,93710,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40216,2019,93710,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,37.0,,,12/06/2023
40217,2019,93710,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,42.0,,,12/06/2023
40218,2019,93710,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,72.0,,,12/06/2023
40219,2019,93710,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,111.0,,,12/06/2023
40220,2019,93710,Residence,Gender,Female,ALL,All causes (total),ICD-10,159.0,,,12/06/2023
40221,2019,93710,Residence,Gender,Male,ALL,All causes (total),ICD-10,130.0,,,12/06/2023
40224,2019,93710,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40236,2019,93711,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,360.0,,,12/06/2023
40237,2019,93711,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40238,2019,93711,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40239,2019,93711,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40240,2019,93711,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40241,2019,93711,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40242,2019,93711,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,,1.0,Cell suppressed for small numbers,12/06/2023
40243,2019,93711,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,12.0,,,12/06/2023
40244,2019,93711,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,33.0,,,12/06/2023
40245,2019,93711,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,54.0,,,12/06/2023
40246,2019,93711,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,92.0,,,12/06/2023
40247,2019,93711,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,146.0,,,12/06/2023
40248,2019,93711,Residence,Gender,Female,ALL,All causes (total),ICD-10,185.0,,,12/06/2023
40249,2019,93711,Residence,Gender,Male,ALL,All causes (total),ICD-10,175.0,,,12/06/2023
40252,2019,93711,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,21.0,,,12/06/2023
40264,2019,93712,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40265,2019,93712,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40266,2019,93712,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40267,2019,93712,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40268,2019,93712,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40269,2019,93712,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40270,2019,93712,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40271,2019,93712,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40272,2019,93712,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40273,2019,93712,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40274,2019,93712,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40275,2019,93712,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40276,2019,93712,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40277,2019,93712,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40280,2019,93712,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2023
40292,2019,93714,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40293,2019,93714,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40294,2019,93714,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40295,2019,93714,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40296,2019,93714,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40297,2019,93714,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40298,2019,93714,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40299,2019,93714,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40300,2019,93714,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40301,2019,93714,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40302,2019,93714,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40303,2019,93714,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40304,2019,93714,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40305,2019,93714,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40308,2019,93714,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2023
40320,2019,93715,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40321,2019,93715,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40322,2019,93715,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40323,2019,93715,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40324,2019,93715,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40325,2019,93715,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40326,2019,93715,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40327,2019,93715,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40328,2019,93715,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40329,2019,93715,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40330,2019,93715,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40331,2019,93715,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40332,2019,93715,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40333,2019,93715,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40336,2019,93715,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2023
40348,2019,93716,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40349,2019,93716,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40350,2019,93716,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40351,2019,93716,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40352,2019,93716,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40353,2019,93716,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40354,2019,93716,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40355,2019,93716,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40356,2019,93716,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40357,2019,93716,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40358,2019,93716,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40359,2019,93716,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40360,2019,93716,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40361,2019,93716,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40364,2019,93716,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2023
40376,2019,93717,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40377,2019,93717,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40378,2019,93717,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40379,2019,93717,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40380,2019,93717,Residence,Age,15-24 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40381,2019,93717,Residence,Age,25-34 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40382,2019,93717,Residence,Age,35-44 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40383,2019,93717,Residence,Age,45-54 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40384,2019,93717,Residence,Age,55-64 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40385,2019,93717,Residence,Age,65-74 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40386,2019,93717,Residence,Age,75-84 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40387,2019,93717,Residence,Age,85 years and over,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40388,2019,93717,Residence,Gender,Female,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40389,2019,93717,Residence,Gender,Male,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40392,2019,93717,Residence,Total Population,Total Population,CLD,Chronic lower respiratory diseases,ICD-10,0.0,,,12/06/2023
40404,2019,93718,Residence,Total Population,Total Population,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40405,2019,93718,Residence,Age,Under 1 year,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40406,2019,93718,Residence,Age,1-4 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
40407,2019,93718,Residence,Age,5-14 years,ALL,All causes (total),ICD-10,0.0,,,12/06/2023
